Plant,Material Description, Price per case 
AA,B&CR: 750RB Amber Calabash & Brown Crate,16.035875
AD,B&CR: 750RB Amber Calabash & Brown Crate,16.035875
AG,B&CR: 750RB Amber Calabash & Brown Crate,16.035875
AF,B&CR: 750RB Amber Calabash & Brown Crate,16.035875
AC,B&CR: 750RB Amber Calabash & Brown Crate,16.035875
AE,B&CR: 750RB Amber Calabash & Brown Crate,16.035875
AB,B&CR: 750RB Amber Calabash & Brown Crate,16.035875
AA,B&CR: 750RB Green Elite & Red Crate,16.91916666666667
AD,B&CR: 750RB Green Elite & Red Crate,16.916083333333336
AG,B&CR: 750RB Green Elite & Red Crate,16.91916666666667
AF,B&CR: 750RB Green Elite & Red Crate,16.91916666666667
AC,B&CR: 750RB Green Elite & Red Crate,16.91916666666667
AE,B&CR: 750RB Green Elite & Red Crate,16.91916666666667
AB,B&CR: 750RB Green Elite & Red Crate,16.91916666666667
AA,B&CR: 660RB Green Lite & Red Crate,16.91916666666667
AD,B&CR: 660RB Green Lite & Red Crate,16.91916666666667
AG,B&CR: 660RB Green Lite & Red Crate,16.91916666666667
AF,B&CR: 660RB Green Lite & Red Crate,16.91916666666667
AC,B&CR: 660RB Green Lite & Red Crate,16.91916666666667
AE,B&CR: 660RB Green Lite & Red Crate,16.91916666666667
AB,B&CR: 660RB Green Lite & Red Crate,16.91916666666667
AA,B&CR: 660RB Flint Diva & Blue Crate,16.91916666666667
AD,B&CR: 660RB Flint Diva & Blue Crate,16.91916666666667
AG,B&CR: 660RB Flint Diva & Blue Crate,16.91916666666667
AF,B&CR: 660RB Flint Diva & Blue Crate,16.91916666666667
AC,B&CR: 660RB Flint Diva & Blue Crate,16.91916666666667
AE,B&CR: 660RB Flint Diva & Blue Crate,16.91916666666667
AB,B&CR: 660RB Flint Diva & Blue Crate,16.91916666666667
AA,XYX B&CR: 375RB PINT PLASTIC BROWN,23.935833333333335
AD,XYX B&CR: 375RB PINT PLASTIC BROWN,23.935833333333335
AG,XYX B&CR: 375RB PINT PLASTIC BROWN,23.935833333333335
AF,XYX B&CR: 375RB PINT PLASTIC BROWN,23.935833333333335
AC,XYX B&CR: 375RB PINT PLASTIC BROWN,23.935833333333335
AE,XYX B&CR: 375RB PINT PLASTIC BROWN,23.935833333333335
AB,XYX B&CR: 375RB PINT PLASTIC BROWN,23.935833333333335
AA,YX B&CR: 340RB PINT PLASTIC GREEN,23.935833333333335
AD,YX B&CR: 340RB PINT PLASTIC GREEN,23.935833333333335
AG,YX B&CR: 340RB PINT PLASTIC GREEN,23.935833333333335
AF,YX B&CR: 340RB PINT PLASTIC GREEN,23.935833333333335
AC,YX B&CR: 340RB PINT PLASTIC GREEN,23.935833333333335
AE,YX B&CR: 340RB PINT PLASTIC GREEN,23.935833333333335
AB,YX B&CR: 340RB PINT PLASTIC GREEN,23.935833333333335
AA,B&CR: Mix Quart & Red Crate,16.91916666666667
AD,B&CR: Mix Quart & Red Crate,16.91916666666667
AG,B&CR: Mix Quart & Red Crate,16.91916666666667
AF,B&CR: Mix Quart & Red Crate,16.91916666666667
AC,B&CR: Mix Quart & Red Crate,16.91916666666667
AE,B&CR: Mix Quart & Red Crate,16.91916666666667
AB,B&CR: Mix Quart & Red Crate,16.91916666666667
AA,XXXB&CR: 660RB Flint MGD & Yellow Crate,16.91916666666667
AD,XXXB&CR: 660RB Flint MGD & Yellow Crate,16.91916666666667
AG,XXXB&CR: 660RB Flint MGD & Yellow Crate,16.91916666666667
AF,XXXB&CR: 660RB Flint MGD & Yellow Crate,16.91916666666667
AC,XXXB&CR: 660RB Flint MGD & Yellow Crate,16.91916666666667
AE,XXXB&CR: 660RB Flint MGD & Yellow Crate,16.91916666666667
AB,XXXB&CR: 660RB Flint MGD & Yellow Crate,16.91916666666667
AA,B&CR: 660RB Flint Bella & Grey Crate,16.91916666666667
AD,B&CR: 660RB Flint Bella & Grey Crate,16.91916666666667
AG,B&CR: 660RB Flint Bella & Grey Crate,16.91916666666667
AF,B&CR: 660RB Flint Bella & Grey Crate,16.91916666666667
AC,B&CR: 660RB Flint Bella & Grey Crate,16.91916666666667
AE,B&CR: 660RB Flint Bella & Grey Crate,16.91916666666667
AB,B&CR: 660RB Flint Bella & Grey Crate,16.91916666666667
AA,XXX KEG: 20L,263.2608333333334
AD,XXX KEG: 20L,263.2608333333334
AG,XXX KEG: 20L,263.2608333333334
AF,XXX KEG: 20L,263.2608333333334
AC,XXX KEG: 20L,263.2608333333334
AE,XXX KEG: 20L,263.2608333333334
AB,XXX KEG: 20L,263.2608333333334
AA,Keg: 30L Empty,263.2608333333334
AD,Keg: 30L Empty,263.2608333333334
AG,Keg: 30L Empty,263.2608333333334
AF,Keg: 30L Empty,263.2608333333334
AC,Keg: 30L Empty,263.2608333333334
AE,Keg: 30L Empty,263.2608333333334
AB,Keg: 30L Empty,263.2608333333334
AA,Keg: 30L Import Empty,263.2608333333334
AD,Keg: 30L Import Empty,263.2608333333334
AG,Keg: 30L Import Empty,263.2608333333334
AF,Keg: 30L Import Empty,263.2608333333334
AC,Keg: 30L Import Empty,263.2608333333334
AE,Keg: 30L Import Empty,263.2608333333334
AB,Keg: 30L Import Empty,263.2608333333334
AA,Keg: 50L Empty,263.2608333333334
AD,Keg: 50L Empty,263.2608333333334
AG,Keg: 50L Empty,263.2608333333334
AF,Keg: 50L Empty,263.2608333333334
AC,Keg: 50L Empty,263.2608333333334
AE,Keg: 50L Empty,263.2608333333334
AB,Keg: 50L Empty,263.2608333333334
AC,XXXKeg: 30L Grolsch Import Empty,263.2608333333334
AB,XXXKeg: 30L Grolsch Import Empty,263.2608333333334
AC,XXXKeg: 10L Peroni Empty,263.2608333333334
AE,XXXKeg: 10L Peroni Empty,263.2608333333334
AB,XXXKeg: 10L Peroni Empty,263.2608333333334
AA,Crate: Brown Quart,8.144191666666666
AD,Crate: Brown Quart,8.144191666666666
AG,Crate: Brown Quart,8.144191666666666
AF,Crate: Brown Quart,8.144191666666666
AC,Crate: Brown Quart,8.144191666666666
AE,Crate: Brown Quart,8.144191666666666
AB,Crate: Brown Quart,8.144191666666666
AA,XYX CRATE: 375RB PLASTIC BROWN,8.144166666666667
AD,XYX CRATE: 375RB PLASTIC BROWN,8.144166666666667
AG,XYX CRATE: 375RB PLASTIC BROWN,8.144166666666667
AF,XYX CRATE: 375RB PLASTIC BROWN,8.144166666666667
AC,XYX CRATE: 375RB PLASTIC BROWN,8.144166666666667
AE,XYX CRATE: 375RB PLASTIC BROWN,8.144166666666667
AB,XYX CRATE: 375RB PLASTIC BROWN,8.144166666666667
AA,XYX CRATE: 340RB PLASTIC GREEN,8.144166666666667
AD,XYX CRATE: 340RB PLASTIC GREEN,8.144166666666667
AG,XYX CRATE: 340RB PLASTIC GREEN,8.144166666666667
AF,XYX CRATE: 340RB PLASTIC GREEN,8.144166666666667
AC,XYX CRATE: 340RB PLASTIC GREEN,8.144166666666667
AE,XYX CRATE: 340RB PLASTIC GREEN,8.144166666666667
AB,XYX CRATE: 340RB PLASTIC GREEN,8.144166666666667
AA,Crate: Red Quart,8.144191666666666
AD,Crate: Red Quart,8.144191666666666
AG,Crate: Red Quart,8.144191666666666
AF,Crate: Red Quart,8.144191666666666
AC,Crate: Red Quart,8.144191666666666
AE,Crate: Red Quart,8.144191666666666
AB,Crate: Red Quart,8.144191666666666
AA,Crate: Blue Quart,8.144191666666666
AD,Crate: Blue Quart,8.144191666666666
AG,Crate: Blue Quart,8.144191666666666
AF,Crate: Blue Quart,8.144191666666666
AC,Crate: Blue Quart,8.144191666666666
AE,Crate: Blue Quart,8.144191666666666
AB,Crate: Blue Quart,8.144191666666666
AA,Crate: Yellow Quart,8.144191666666666
AD,Crate: Yellow Quart,8.144191666666666
AG,Crate: Yellow Quart,8.144191666666666
AF,Crate: Yellow Quart,8.144191666666666
AC,Crate: Yellow Quart,8.144191666666666
AE,Crate: Yellow Quart,8.144191666666666
AB,Crate: Yellow Quart,8.144191666666666
AA,Crate: Grey Quart,8.144191666666666
AD,Crate: Grey Quart,8.144191666666666
AG,Crate: Grey Quart,8.144191666666666
AF,Crate: Grey Quart,8.144191666666666
AC,Crate: Grey Quart,8.144191666666666
AE,Crate: Grey Quart,8.144191666666666
AB,Crate: Grey Quart,8.144191666666666
AA,Bottle: 750RB Amber Calabash,7.994183333333333
AD,Bottle: 750RB Amber Calabash,7.994183333333333
AG,Bottle: 750RB Amber Calabash,7.994183333333333
AF,Bottle: 750RB Amber Calabash,7.994183333333333
AC,Bottle: 750RB Amber Calabash,7.994183333333333
AE,Bottle: 750RB Amber Calabash,7.994183333333333
AB,Bottle: 750RB Amber Calabash,7.994183333333333
AA,Bottle: 750ml RB Green Elite,8.8744
AD,Bottle: 750ml RB Green Elite,8.8744
AG,Bottle: 750ml RB Green Elite,8.8744
AF,Bottle: 750ml RB Green Elite,8.8744
AC,Bottle: 750ml RB Green Elite,8.8744
AE,Bottle: 750ml RB Green Elite,8.8744
AB,Bottle: 750ml RB Green Elite,8.8744
AA,Bottle: 660RB Green Lite,8.8775
AD,Bottle: 660RB Green Lite,8.8775
AG,Bottle: 660RB Green Lite,8.8775
AF,Bottle: 660RB Green Lite,8.8775
AC,Bottle: 660RB Green Lite,8.8775
AE,Bottle: 660RB Green Lite,8.8775
AB,Bottle: 660RB Green Lite,8.8775
AA,Bottle: 660RB Flint Diva,8.8744
AD,Bottle: 660RB Flint Diva,8.8744
AG,Bottle: 660RB Flint Diva,8.8744
AF,Bottle: 660RB Flint Diva,8.8744
AC,Bottle: 660RB Flint Diva,8.8744
AE,Bottle: 660RB Flint Diva,8.8744
AB,Bottle: 660RB Flint Diva,8.8744
AA,XYX Bottle: 375ml RB Amber Pint,15.894166666666667
AD,XYX Bottle: 375ml RB Amber Pint,15.894166666666667
AG,XYX Bottle: 375ml RB Amber Pint,15.894166666666667
AF,XYX Bottle: 375ml RB Amber Pint,15.894166666666667
AC,XYX Bottle: 375ml RB Amber Pint,15.894166666666667
AE,XYX Bottle: 375ml RB Amber Pint,15.894166666666667
AB,XYX Bottle: 375ml RB Amber Pint,15.894166666666667
AA,XYX BOTTLE: 340RB GREEN,15.894166666666667
AD,XYX BOTTLE: 340RB GREEN,15.894166666666667
AG,XYX BOTTLE: 340RB GREEN,15.894166666666667
AF,XYX BOTTLE: 340RB GREEN,15.894166666666667
AC,XYX BOTTLE: 340RB GREEN,15.894166666666667
AE,XYX BOTTLE: 340RB GREEN,15.894166666666667
AB,XYX BOTTLE: 340RB GREEN,15.894166666666667
AA,Bottle: 660RB Flint MGD,8.8775
AD,Bottle: 660RB Flint MGD,8.8775
AG,Bottle: 660RB Flint MGD,8.8775
AF,Bottle: 660RB Flint MGD,8.8775
AC,Bottle: 660RB Flint MGD,8.8775
AE,Bottle: 660RB Flint MGD,8.8775
AB,Bottle: 660RB Flint MGD,8.8775
AA,Bottle: 660RB Flint Bella,8.8775
AD,Bottle: 660RB Flint Bella,8.8775
AG,Bottle: 660RB Flint Bella,8.8775
AF,Bottle: 660RB Flint Bella,8.8775
AC,Bottle: 660RB Flint Bella,8.8775
AE,Bottle: 660RB Flint Bella,8.8775
AB,Bottle: 660RB Flint Bella,8.8775
AA,BOTTLE: 660ML RB 80MM DIVA,7.994166666666667
AD,BOTTLE: 660ML RB 80MM DIVA,8.8775
AF,BOTTLE: 660ML RB 80MM DIVA,7.994166666666667
AC,BOTTLE: 660ML RB 80MM DIVA,7.994166666666667
AE,BOTTLE: 660ML RB 80MM DIVA,8.8775
AA,Layer Board: Cardboard,6.54635
AD,Layer Board: Cardboard,6.54635
AG,Layer Board: Cardboard,6.54635
AF,Layer Board: Cardboard,6.54635
AC,Layer Board: Cardboard,6.54635
AE,Layer Board: Cardboard,6.54635
AB,Layer Board: Cardboard,5.9422500000000005
AG,B&CR: 750ml NRB NAM Plastic Brown,8.144166666666667
AE,B&CR: 750ml NRB NAM Plastic Brown,8.144166666666667
AA,B&CR: 660RB Green & Brown Crate,16.91916666666667
AD,B&CR: 660RB Green & Brown Crate,16.91916666666667
AG,B&CR: 660RB Green & Brown Crate,16.91916666666667
AF,B&CR: 660RB Green & Brown Crate,16.91916666666667
AC,B&CR: 660RB Green & Brown Crate,16.91916666666667
AE,B&CR: 660RB Green & Brown Crate,16.91916666666667
AB,B&CR: 660RB Green & Brown Crate,16.91916666666667
AD,B&CR: 660ml RB 70mm Diva Sorted,14.569166666666668
AC,B&CR: 660ml RB 70mm Diva Sorted,14.569166666666668
AE,B&CR: 660ml RB 70mm Diva Sorted,14.569166666666668
AD,B&CR: 660ml RB 80mm Diva Sorted,14.569166666666668
AC,B&CR: 660ml RB 80mm Diva Sorted,14.569166666666668
AE,B&CR: 660ml RB 80mm Diva Sorted,14.569166666666668
AA,B&CR: 330RB Amber & Brown Crate,23.935833333333335
AD,B&CR: 330RB Amber & Brown Crate,23.935833333333335
AG,B&CR: 330RB Amber & Brown Crate,23.935833333333335
AF,B&CR: 330RB Amber & Brown Crate,23.935833333333335
AC,B&CR: 330RB Amber & Brown Crate,23.935833333333335
AE,B&CR: 330RB Amber & Brown Crate,23.935833333333335
AB,B&CR: 330RB Amber & Brown Crate,23.935833333333335
AA,Crate: Brown Pint,8.144191666666666
AD,Crate: Brown Pint,8.144191666666666
AG,Crate: Brown Pint,8.144191666666666
AF,Crate: Brown Pint,8.144191666666666
AC,Crate: Brown Pint,8.144191666666666
AE,Crate: Brown Pint,8.144191666666666
AB,Crate: Brown Pint,8.144191666666666
AA,Bottle: 660ml RB U/E Green Diner,7.412416666666667
AD,Bottle: 660ml RB U/E Green Diner,7.412416666666667
AG,Bottle: 660ml RB U/E Green Diner,7.412416666666667
AF,Bottle: 660ml RB U/E Green Diner,7.412416666666667
AC,Bottle: 660ml RB U/E Green Diner,7.412416666666667
AE,Bottle: 660ml RB U/E Green Diner,7.412416666666667
AB,Bottle: 660ml RB U/E Green Diner,7.412416666666667
AA,Bottle: 330RB Amber Uno,15.894175
AD,Bottle: 330RB Amber Uno,15.894175
AG,Bottle: 330RB Amber Uno,15.894175
AF,Bottle: 330RB Amber Uno,15.894175
AC,Bottle: 330RB Amber Uno,15.894175
AE,Bottle: 330RB Amber Uno,15.894175
AB,Bottle: 330RB Amber Uno,15.894175
AA,Bottle: 660RB Green Peroni,0.83375
AD,Bottle: 660RB Green Peroni,0.83375
AG,Bottle: 660RB Green Peroni,0.83375
AF,Bottle: 660RB Green Peroni,0.83375
AC,Bottle: 660RB Green Peroni,0.83375
AE,Bottle: 660RB Green Peroni,0.83375
AB,Bottle: 660RB Green Peroni,0.83375
AA,XXXB&CR: 660RB Green Peroni & Navy Crate,16.91916666666667
AD,XXXB&CR: 660RB Green Peroni & Navy Crate,16.91916666666667
